Book Title,Authors,Chapter Title,Date of Highlight,Book URL,Chapter URL,Highlight URL,Highlight,Personal Note
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,4/5/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41697146/,"Health checks and related parameters can be specified at service creation time, changed or set on service updates,
         or even specified as image metadata by using the HEALTHCHECK Dockerfile directive.",
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,4/1/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41228160/,"Docker stack is a named collection of services, volumes, networks, secrets, and configs. The docker stack",
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41227807/,The full YAML 1.2 specification is available at http://yaml.org/spec/1.2/2009-07-21/spec.html and is quite readable. ,
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41227712/,YAML uses indentation to indicate content scope. ,
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41227691/,"The block style is more common and will be used in this primer except where noted. The three types of data are maps, lists, and scalar values.",
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41227618/,"The plain (unquoted) style has no identifying indicators and provides no form of escaping. It is therefore the most readable, most limited, and most context-sensitive style. ",
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41227593/,"The value for image in the preceding example is specified in double-quote style, which is capable of expressing arbitrary strings, by using \ escape sequences. ",
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41227222/,Comment support is one of the most popular reasons to adopt YAML instead of JSON today. A YAML document can include a comment at the end of any line. Comments are marked by a space followed by a hash sign ( #).,
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41226876/,"A stack describes collections of services, volumes, networks, and other ",
"Docker in Action, Second Edition",Jeffrey Nickoloff...,Chapter 11. Services with Docker and Compose,3/31/2020,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/,https://learning.oreilly.com/library/view/docker-in-action/9781617294761/kindle_split_025.html,https://learning.oreilly.com/a/docker-in-action/41126406/,"For our purposes, you can consider the terms task and container roughly interchangeable.",
