Book Title,Authors,Chapter Title,Date of Highlight,Book URL,Chapter URL,Highlight URL,Highlight,Personal Note
Building Microservices,Sam Newman,11. Microservices at Scale,2020-08-14,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/51460783/,"First, they provide some mechanism for an instance to register itself and say, “I’m here!” Second, they provide a way to find the service once it’s registered.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-08-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/51422770/,"As touched on earlier, systems that are happy to cede consistency to keep partition tolerance and availability are said to be eventually consistent;",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-08-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/51422697/,"consistency, availability, and partition tolerance. Specifically, the theorem tells us that we get to keep two in a failure mode.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-08-13,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/51420660/,"Caching is a commonly used performance optimization whereby the previous result of some operation is stored, so that subsequent requests can use this stored value rather than spending time and resources recalculating the value.",
Building Microservices,Sam Newman,11. Microservices at Scale,2020-08-07,https://learning.oreilly.com/library/view/building-microservices/9781491950340/,https://learning.oreilly.com/library/view/building-microservices/9781491950340/ch11.html,https://learning.oreilly.com/a/building-microservices/50543545/,Responding very slowly is one of the worst failure modes you can experience.,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-05,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50426597/,Spring Microservices in Action by John Carnell,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-04,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50313531/,"version of Spring (5.0.8), support was added for reactive-style programming, including a new reactive web framework called Spring WebFlux that borrows heavily from Spring MVC.",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-04,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50313527/,"core Spring Framework also offers some elemental data persistence support, specifically template-based JDBC support.",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-04,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50313522/,Spring MVC can also be used to create REST APIs that produce non-HTML output.,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-04,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50313518/,"Spring MVC, Spring’s web framework.",
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-04,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50313513/,the core Spring Framework is the foundation of everything else in the Spring universe. It provides the core container and dependency injection framework.,
"Spring in Action, Fifth Edition",Craig Walls,Chapter 1. Getting started with Spring,2020-08-03,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/,https://learning.oreilly.com/library/view/spring-in-action/9781617294945/OEBPS/Text/kindle_split_009.html,https://learning.oreilly.com/a/spring-in-action/50099095/,create a new project using my favorite option: Spring Initializr support in the Spring Tool Suite.,
